# W  results  stat. err
3.153000e+01  3.381009e+01  5.762123e-01
9.711000e+01  5.582127e+01  9.616097e-01
1.246900e+02  6.242022e+01  1.076502e+00
1.601000e+02  6.979490e+01  1.202322e+00
4.931400e+02  1.163888e+02  1.994680e+00
6.332100e+02  1.309571e+02  2.258036e+00
8.130500e+02  1.477031e+02  2.575808e+00
4.050000e+01  3.778261e+01  6.442702e-01
4.590000e+01  3.994635e+01  6.818805e-01
5.200000e+01  4.223021e+01  7.218681e-01
2.990000e+02  9.244177e+01  1.582309e+00
3.390000e+02  9.788537e+01  1.674352e+00
3.840000e+02  1.036433e+02  1.772633e+00
5.040000e+01  3.464799e-02  1.028312e-03
7.310000e+01  4.137144e-02  1.266648e-03
1.299000e+02  5.517959e-02  1.894424e-03
1.933000e+02  6.780690e-02  2.591882e-03
3.912000e+02  9.840298e-02  4.592442e-03
4.320000e+01  3.227375e-02  9.580982e-04
5.000000e+01  3.451975e-02  1.024310e-03
5.730000e+01  3.680037e-02  1.098749e-03
6.530000e+01  3.917048e-02  1.182897e-03
7.390000e+01  4.159169e-02  1.275309e-03
8.320000e+01  4.408492e-02  1.376716e-03
9.330000e+01  4.666708e-02  1.487935e-03
1.043000e+02  4.935186e-02  1.609813e-03
4.250000e+01  3.203493e-02  9.515170e-04
5.500000e+01  3.609496e-02  1.075005e-03
6.500000e+01  3.908377e-02  1.179705e-03
7.500000e+01  4.189297e-02  1.287236e-03
8.500000e+01  4.455411e-02  1.396469e-03
1.000000e+02  4.831696e-02  1.562105e-03
1.175000e+02  5.242324e-02  1.756537e-03
1.325000e+02  5.574328e-02  1.923314e-03
1.550000e+02  6.043923e-02  2.172583e-03
1.850000e+02  6.626815e-02  2.501685e-03
2.150000e+02  7.169888e-02  2.825668e-03
2.450000e+02  7.680454e-02  3.143580e-03
2.750000e+02  8.163755e-02  3.454827e-03
4.260000e+02  1.029511e-01  4.911589e-03
4.830000e+02  1.100315e-01  5.413041e-03
5.470000e+02  1.175116e-01  5.945286e-03
6.200000e+02  1.255307e-01  6.514123e-03
7.020000e+02  1.339875e-01  7.106945e-03
7.960000e+02  1.430760e-01  7.730291e-03
9.020000e+02  1.526692e-01  8.366676e-03
1.022000e+03  1.628222e-01  9.009620e-03
1.158000e+03  1.735633e-01  9.649001e-03
1.312000e+03  1.848986e-01  1.027174e-02
5.809680e+02  1.213057e-01  6.214934e-03
6.583230e+02  1.295499e-01  6.797085e-03
7.459770e+02  1.383137e-01  7.405789e-03
8.453030e+02  1.476176e-01  8.034700e-03
9.578540e+02  1.574810e-01  8.675684e-03
1.085391e+03  1.679220e-01  9.318803e-03
1.229909e+03  1.789569e-01  9.952344e-03
1.393669e+03  1.906002e-01  1.056297e-02
1.579234e+03  2.028639e-01  1.113599e-02
1.000000e-01  2.528063e-02  7.814233e-03
2.900000e-01  2.691641e-02  4.266066e-03
5.200000e-01  2.066016e-02  2.056323e-03
7.800000e-01  1.225239e-02  9.446709e-04
1.120000e+00  5.542374e-03  3.681201e-04
1.550000e+00  2.066758e-03  1.304916e-04
2.210000e+00  5.785632e-04  3.593379e-05
2.000000e-02  2.531822e-01  4.918111e-03
8.000000e-02  1.664725e-01  3.645738e-03
1.400000e-01  1.095273e-01  2.894747e-03
2.100000e-01  6.726836e-02  2.272347e-03
3.000000e-01  3.601510e-02  1.618186e-03
4.100000e-01  1.685983e-02  1.028290e-03
5.800000e-01  5.282256e-03  4.854501e-04
9.000000e-01  6.328977e-04  1.152566e-04
