# total cross section in ePb
# W[GeV]  sg[nb]  stat. err
3.153000e+01  1.689000e+04  1.445856e+03
9.711000e+01  2.173000e+04  5.995732e+03
1.246900e+02  2.415000e+04  1.533949e+03
1.601000e+02  2.500000e+04  8.805867e+03
4.931400e+02  4.468000e+04  8.199201e+03
6.332100e+02  4.658000e+04  8.747857e+03
8.130500e+02  5.732000e+04  2.210651e+04
4.050000e+01  2.022000e+04  7.017834e+02
4.590000e+01  2.244000e+04  8.732125e+02
5.200000e+01  2.207000e+04  1.375682e+03
2.990000e+02  3.390000e+04  6.217717e+03
3.390000e+02  2.950000e+04  5.126402e+03
3.840000e+02  3.280000e+04  5.700877e+03
# total cross sectiom in ep
# W[GeV]  sg[nb]  stat. err
5.040000e+01  4.200000e+01  9.848858e+00
7.310000e+01  6.200000e+01  1.170470e+01
1.299000e+02  1.010000e+02  1.360147e+01
1.933000e+02  1.260000e+02  1.720465e+01
3.912000e+02  1.940000e+02  3.088689e+01
4.320000e+01  5.070000e+01  4.900000e+00
5.000000e+01  5.950000e+01  5.800000e+00
5.730000e+01  6.180000e+01  6.200000e+00
6.530000e+01  6.760000e+01  6.200000e+00
7.390000e+01  7.240000e+01  6.500000e+00
8.320000e+01  7.990000e+01  7.000000e+00
9.330000e+01  8.440000e+01  7.000000e+00
1.043000e+02  8.670000e+01  7.400000e+00
#2.750000e+01  3.360000e+01  2.720294e+00
4.250000e+01  4.380000e+01  3.522783e+00
5.500000e+01  5.720000e+01  4.024922e+00
6.500000e+01  6.250000e+01  4.701064e+00
7.500000e+01  6.890000e+01  5.197115e+00
8.500000e+01  7.210000e+01  5.693856e+00
1.000000e+02  8.190000e+01  5.412947e+00
1.175000e+02  9.570000e+01  6.276942e+00
1.325000e+02  1.039000e+02  6.997142e+00
1.550000e+02  1.150000e+02  8.377350e+00
1.850000e+02  1.291000e+02  9.364828e+00
2.150000e+02  1.417000e+02  1.070747e+01
2.450000e+02  1.403000e+02  1.681577e+01
2.750000e+02  1.890000e+02  1.984943e+01
4.260000e+02  2.240000e+02  3.200000e+01
4.830000e+02  2.570000e+02  2.800000e+01
5.470000e+02  2.630000e+02  2.900000e+01
6.200000e+02  2.650000e+02  2.900000e+01
7.020000e+02  2.840000e+02  3.000000e+01
7.960000e+02  3.010000e+02  3.200000e+01
9.020000e+02  3.200000e+02  3.400000e+01
1.022000e+03  3.560000e+02  3.700000e+01
1.158000e+03  4.320000e+02  4.700000e+01
1.312000e+03  4.810000e+02  6.500000e+01
5.809680e+02  2.554960e+02  4.296500e+01
6.583230e+02  2.960910e+02  3.031400e+01
7.459770e+02  2.827910e+02  2.609900e+01
8.453030e+02  2.986840e+02  2.430900e+01
9.578540e+02  3.156130e+02  2.409400e+01
1.085391e+03  3.495250e+02  2.593900e+01
1.229909e+03  3.561680e+02  2.763900e+01
1.393669e+03  3.558380e+02  3.030200e+01
1.579234e+03  4.026820e+02  3.954800e+01
#1.789507e+03  4.646470e+02  6.602800e+01
# ep t-differential cross section
# t  results  stat. err
1.000000e-01  4.730000e+01  6.700000e+00
2.900000e-01  4.380000e+01  6.000000e+00
5.200000e-01  3.670000e+01  5.100000e+00
7.800000e-01  2.780000e+01  4.200000e+00
1.120000e+00  1.680000e+01  2.590000e+00
1.550000e+00  1.005000e+01  1.560000e+00
2.210000e+00  6.040000e+00  6.800000e-01
2.000000e-02  3.360000e+02  1.840000e+01
8.000000e-02  2.405000e+02  1.290000e+01
1.400000e-01  1.612000e+02  9.300000e+00
2.100000e-01  1.114000e+02  7.000000e+00
3.000000e-01  7.040000e+01  5.100000e+00
4.100000e-01  4.120000e+01  3.700000e+00
5.800000e-01  1.800000e+01  2.740000e+00
9.000000e-01  4.830000e+00  1.750000e+00

