# total cross sectiom in ep
# W[GeV]  sg[nb]  stat. err
5.040000e+01  4.200000e+01  9.848858e+00
7.310000e+01  6.200000e+01  1.170470e+01
1.299000e+02  1.010000e+02  1.360147e+01
1.933000e+02  1.260000e+02  1.720465e+01
3.912000e+02  1.940000e+02  3.088689e+01
4.320000e+01  5.070000e+01  4.900000e+00
5.000000e+01  5.950000e+01  5.800000e+00
5.730000e+01  6.180000e+01  6.200000e+00
6.530000e+01  6.760000e+01  6.200000e+00
7.390000e+01  7.240000e+01  6.500000e+00
8.320000e+01  7.990000e+01  7.000000e+00
9.330000e+01  8.440000e+01  7.000000e+00
1.043000e+02  8.670000e+01  7.400000e+00
#2.750000e+01  3.360000e+01  2.720294e+00
4.250000e+01  4.380000e+01  3.522783e+00
5.500000e+01  5.720000e+01  4.024922e+00
6.500000e+01  6.250000e+01  4.701064e+00
7.500000e+01  6.890000e+01  5.197115e+00
8.500000e+01  7.210000e+01  5.693856e+00
1.000000e+02  8.190000e+01  5.412947e+00
1.175000e+02  9.570000e+01  6.276942e+00
1.325000e+02  1.039000e+02  6.997142e+00
1.550000e+02  1.150000e+02  8.377350e+00
1.850000e+02  1.291000e+02  9.364828e+00
2.150000e+02  1.417000e+02  1.070747e+01
2.450000e+02  1.403000e+02  1.681577e+01
2.750000e+02  1.890000e+02  1.984943e+01
4.260000e+02  2.240000e+02  3.200000e+01
4.830000e+02  2.570000e+02  2.800000e+01
5.470000e+02  2.630000e+02  2.900000e+01
6.200000e+02  2.650000e+02  2.900000e+01
7.020000e+02  2.840000e+02  3.000000e+01
7.960000e+02  3.010000e+02  3.200000e+01
9.020000e+02  3.200000e+02  3.400000e+01
1.022000e+03  3.560000e+02  3.700000e+01
1.158000e+03  4.320000e+02  4.700000e+01
1.312000e+03  4.810000e+02  6.500000e+01
5.809680e+02  2.554960e+02  4.296500e+01
6.583230e+02  2.960910e+02  3.031400e+01
7.459770e+02  2.827910e+02  2.609900e+01
8.453030e+02  2.986840e+02  2.430900e+01
9.578540e+02  3.156130e+02  2.409400e+01
1.085391e+03  3.495250e+02  2.593900e+01
1.229909e+03  3.561680e+02  2.763900e+01
1.393669e+03  3.558380e+02  3.030200e+01
1.579234e+03  4.026820e+02  3.954800e+01
#1.789507e+03  4.646470e+02  6.602800e+01
